"species","scenario","label","gamma_true","n_total","n_converged","pct_converged","elapsed_sec"
"otitar","A","Empirical",4.54840009386186e-05,200,200,100,247.1
"otitar","B","5x empirical",0.000227420004693093,200,200,100,392.3
"otitar","C","10x empirical",0.000454840009386186,200,200,100,348.3
"otitar","D","eps/gam=10",0.0222390981652645,200,200,100,270.7
"otitar","E","psi*=10%",0.0247101090725161,200,200,100,322
"ptealc","A","Empirical",0.00137120428971557,200,200,100,329.2
"ptealc","B","5x empirical",0.00685602144857787,200,200,100,400.6
"ptealc","C","10x empirical",0.0137120428971557,200,200,100,318.7
"ptealc","D","eps/gam=10",0.0489399033296083,200,200,100,1658
"ptealc","E","psi*=10%",0.0543776703662315,200,200,100,321.5
"pteori","A","Empirical",3.82321857674696e-07,200,200,100,322.2
"pteori","B","5x empirical",1.91160928837348e-06,200,200,100,1255.2
"pteori","C","10x empirical",3.82321857674696e-06,200,200,100,283.8
"pteori","D","eps/gam=10",0.0440630063661829,200,200,100,268.7
"pteori","E","psi*=10%",0.0489588959624254,200,200,100,267.2
"tettet","A","Empirical",0.000679011517627045,200,200,100,222.7
"tettet","B","5x empirical",0.00339505758813522,200,200,100,217.1
"tettet","C","10x empirical",0.00679011517627045,200,200,100,217.1
"tettet","D","eps/gam=10",0.0137513701511766,200,200,100,229
"tettet","E","psi*=10%",0.015279300167974,200,200,100,229.2
